text,dataset,label
"En que se parece una mujer a un cientifico? En que al cientifico le pasan cosas por la cabeza, y a la mujer le pasan cabezas por la cosa",ibereval,1
"@_BarbaraBlade Para mi una mujer es perra sólo si comete infidelidad; si la chica está soltera ¿qué diablos le impide acostarse con todos los manes del planeta? Un man lo hace y nadie dice nada, ¿quién les da el derecho de juzgar por lo mismo a una mujer?",ibereval,0
"hice q la perra subiera al colchon y mi vieja la saco cagando, Q M IMPORTAN LOS PELOS ADRIANA CALLATEEEE",ibereval,1
@Alexaladyekt Q perra tan cojible eres puta yo ya m eh culeado a varias putas d elektra pero se nota q tu eres especial seria rico chiquitearte y darte a beber mis Miados y mis mocos,ibereval,1
"@vanessagirona @KRLS @mossos Vienes a las mías..., 'políticos' no España, con Franco eso no pasaba teníais lo que queríais, todos por igual, el fanatismo por la independencia llegó después con atontaos a los que votamos, yo soy de c's por innovar no por o",ibereval,0
@Reforma @aurelionuno No seas hijo de puta Nuño según tu eres representante de la educación puto viejo chismoso chupate mi verga.....,ibereval,0
Entiendo que el acoso puede terminar en violación o muerte (en el peor de los casos) y las drogas normalmente dañan al que las consume. Uno es un daño infligido y el otro daño es autoinducido. https://t.co/BRv1dUD71r,ibereval,0
"Soy caga palos y que! Pagame a la madre y callate el pinche osico perra ,antes que te valla peor hija de puta 🇲🇽😈",ibereval,1
"@alaniscristalv Cállate, pa' interés cualquiera so perra",ibereval,1
@Barbijaputa Por culpa de los petardos tengo unos amigos locos por encontrar a su perrita. Se les escapó y salió huyendo por el ruido. https://t.co/pw4b7kWwoc,ibereval,0
DIPUTADOS.HIJOS DE PUTA Q. VAN A PROVOCAR A LOS GENDARMES . QUIENES SON ?? KMAXIMO DEL CAÑO MORO BREGMAN CUANDO LUCHARON ×LOS JUBILADOS??,ibereval,0
Pegarte en la cara con un sartén > ver Friends. https://t.co/HGNu2v8g7C,ibereval,0
@ERROR14501 @BIZARROMAN09 Callate perra y no,ibereval,1
@PoderFeminazi Cállate y hazme la cena.,ibereval,1
@Anita_Romi Cállate la puta boca challenge no eres una mierda de persona y si te draggean pues las cogemos y las matamos https://t.co/uZThUJRoPD,ibereval,1
"@tinaletina Ojalá no fuera así, pero tristemente lo es. Normalmente y gracias a Dios en el 90% de los casos son mujeres normales.+",ibereval,0
@mariajoarga @Paugalindo Ay cállate perra.,ibereval,1
"@Guru_socket @joaquinbarucco La mejor forma de dormirte es pegarte un cachetazo, en la cara dormido... (Pensala) 😠 🙆...",ibereval,0
@beleeeennnn_ sos más perra vos que ella callate,ibereval,1
"Cinder eres una hija de la grandísima puta y te mereces lo peor. Y te lo vas a llevar, zorra de mierda.",ibereval,1
"@Barbijaputa De mí se rieron por relacionarlo con el veganismo: 'mirad a esta loca las tonterías que dice, lo que me faltaba por oír.' Mi hermana les miró como si fueran mierda, no entendieron por qué eran los únicos que se reían en la mesa.",ibereval,0
A esto se le llama falta de vergüenza https://t.co/BxZckxF9xQ,ibereval,0
Exacto! #puralata #feminazis #HombreAbusado https://t.co/zTEvaftxcd,ibereval,1
@FaunaFeminazi Ayúdanos a promover el Movimiento SEMEN!! Un RT!,ibereval,0
"NO ES CULPA MIA UUUUO, LA ZORRA DE TU NOVIA QUIERE ARRANCAR, NO ES CULPA MIA, UUUUO",ibereval,1
"''¿Quieres buscar fama pa tirarte la kiada, pa follarte a la más guarra y ganarte 4 perras? Yo te la regalo primo, solo trae desgracia. Yo ya escuchaba al Edu y el decía: 'fuck the fama'''",ibereval,1
"@aloayzah @MangeSuazo @joseantoniokast Oye, clouseau, de tanto pegarte en la cara ya la tienes plana. Algún otro argumento aparte de repetir mil veces un emoticon?",ibereval,0
@Sonia_Cameselle Esta mujer es una perra.,ibereval,1
"@Relatofeminista Hemos empezado de puta madre, si seguimos este paso llegaremos a las cuevas antes de que rajoy diga la próxima gilipollez",ibereval,0
"@m_wesner1 Te mereces todo lo que está bien, que lindo verte así perra 🙌🏽💖",ibereval,1
Ains... ya no queda buen machismo como el de antes...,ibereval,0
@OneforAllDeku_ @xkingxexplosion ¡Tú no me das ordenes imbécil voy a destruirle la polla a ese maldito subnormal y voy hacer las cosas a mi maldita manera! ¡Apártate parásito!,ibereval,0
"Morgan Spurlock, director de ‘Super size me’, se autoinculpa de acoso sexual y violación https://t.co/xxihQICczk",ibereval,0
Jajajajaja le tengo que enseñar eso a mi perra😂 https://t.co/rlTRFU3Dx0,ibereval,0
Me encantaria darte unas nalgadas ricas ❤ — A mí me encantaría pegarte una hostia en la cara https://t.co/rUKwwVXlxm,ibereval,1
Para el tal uranium ese todo el puto sol en la cara voy a autodestruir la polla,ibereval,0
7. Loreen; no tengo suficientes palabras ni caracteres para definir en un tweet porque esta mujer es la puta reina de suecia. https://t.co/DnE5ZpziQI,ibereval,1
"Apartas el tanga a un lado, posas mi polla en tu coño y te dejas caer despacio metiéndola entera, que placer me da sentir como aprieta tu coño durante todo el recorrido, baja nena https://t.co/EAzApav28W",ibereval,1
Eres una perra que no merece a sus amigos — ¿Quieres ser mi amigo/a? Tal vez a ti sí te merezca. https://t.co/NjEcj00Z9a,ibereval,1
"@OrgMujeresCI Estoy de acuerdo, pero no sé puede minimizar o relativizar la violación o el acoso sexual. Sea de rocas y famosas o no",ibereval,0
"A ver cielo, ¿sabe tu coño a la polla de mi marido?, porque si es así... también me lo comeré muy a menudo https://t.co/xrqIBf4VMq",ibereval,1
"@anaisbernal Pásalo muy bien,te lo mereces 😘😘",ibereval,0
"@HuxGeneraI « hijo de perra. Por supuesto no lo haría, solo el muy bastardo se lo merecía por intentar siempre menospreciarle .... Si los golpes no funcionaban, habría de intimidarlo aún de la manera más repugnante —",ibereval,0
"@erreleny @Fel_blan Buena descripción, aunque se te ha olvidado decir la puta moralina. Todos tienen que ENSEÑARTE y EDUCARTE con su puta moralina de los cojones. Es una serie muy milenial.",ibereval,0
"Esa gente insultando y condenando al asesino de Diana Quer pero que luego le quitan importancia al acoso, violación y maltrato a la mujer...",ibereval,0
"2018 y 'vas provocando 2018 y 'te violan por guarra que te lo buscas' 2018 y si te resistes te matan, y si no te violan pero eh 'haberte resistido más' 2018 y 'pero había bebido? Dijo que no? Qué llevaba? Es ligona?' 2018 y la sociedad sigue dando asco Lets change that",ibereval,0
@Maridolvers Perra te lo merecías! 😎,ibereval,1
Qué es un partido doble mixto de tenis? Un single de hombres con obstáculos.,ibereval,0
@Milenio Cállate rata asquerosa priísta de toda tu perra vida. No te cansas de robar. Pudrete hijo de tu puta madre.,ibereval,0
@MiaVasile Callate y mira como la perra muerte toda la alfombra,ibereval,1
@KPLong4 @cuenta_C @A3Noticias que te calles la puta boca esa de sapo que tienes,ibereval,1
Que es una Mujer embarazada de dos nenas y un varon? Un kit de limpieza con instrucciones.,ibereval,1
"¿Cuál es la peor desgracia para una mujer? Parir un varón, porque después de tener un cerebro dentro durante 9 meses, van y se lo sacan.",ibereval,1
@anaisbernal La Mariló Montero es una hija de puta machista!,ibereval,1
@come_hombres Agrega puta zorra yo te uso como te mereces y te ago mas puta de lo que ya eres,ibereval,1
"@IrantzuVarela Encuentro fascinante como los tíos cogen una prueba de su inutilidad (frígida, mal follada, coño reseco) y tratan de hacerlo pasar por un insulto hacia nosotras",ibereval,1
Mi novia es la mujer más hermosa que he visto en mi perra vida.,ibereval,0
"@Solanopo Cállate sorete buscan un muerto hijos de puta, ojalá se te muera tu mascota en navidad",ibereval,0
"¿Porque se dice que la cerveza tiene hormonas femeninas? Porque cuando la bebes conduces mal, dices tonterias y nadie te hace caso.",ibereval,1
1-Acoso no es abuso ni violación 2-Naturalizar un acoso como si nada sin mediar palabra que retracte conductas no está ni un poco bueno,ibereval,0
"Monica dejate de tonterias, Nerea lo ha hecho de puta madre , yo no veo nada q objetar #OTGala9",ibereval,0
@Andrefcarmona @ValeeJurado Tu eres una perra,ibereval,1
@BeeluArzola callate puta mal parida perra re culia inconciente callada deberias estar maldita,ibereval,1
@erices16_ Cállate vos wacha trola deja de confundir las hormonas puta,ibereval,1
YA CALLATE PUTA PERRA ME TIENES CANSADO CON TUS PENDEJADAS,ibereval,1
@jovencito9797 Comemela a mi jejeje,ibereval,0
"Te odio Lidia, no te mereces a Francisco, #perra #LasChicasDelCable2",ibereval,1
@GustavoOrozcoH No le enseñaron modales a esa antifujimorista perra mermelera del foro de sao paulodebretch?esta ofendiendo a millones de votantes,ibereval,1
@gonzozaqw @_piturros tu callate un mes perra,ibereval,1
"Macho, aquí te llaman guarra ya por enseñar las orejas https://t.co/VomjsvEeY4",ibereval,0
"Te voy a enseñar lo que es una perra, PERRA.",ibereval,1
@FreddyGuevaraC @NTN24 Callate q estas preso hijo de tu puta mae,ibereval,0
Gracias Twitter por enseñarme que el truco para ser famosa es estar bien buena y ser bien puta,ibereval,1
Cuando no opinas como las #feminazis quieren sos acosador/abusador/violador.... 80% de las denuncias de mujeres victimizadas son falsas. #Femimoda https://t.co/PkqOGkjziV,ibereval,1
Tengo frío en mis piernitas.... ahhh pero quería venir en perra enseñando pierna no?,ibereval,0
Todos estan negados a enseñarme a manejar hijos de puta ya los voy a atropellar tarde o temprano,ibereval,0
"Una violación cada 8 horas en españa Más de 1000 asesinatos machistas desde 2003 Todas hemos sufrido acoso callejero alguna vez Pero oye, son casos aislados y somos unas exageradas porque 'vivimos en uno de los mejores países del mundo' https://t.co/mcSF1sGWQn",ibereval,0
@abc_es @HiginiaRoig Ya está la niña del exorcista diciendo tonterías. Has visto lo que a hecho la guarra de tú hija.,ibereval,1
"Lo estoy contando a sara lo que me pasó el 28/12 y me está llamando zorra, no es culpa mía ok JAJSAJAKSJAKSAKJSKJ",ibereval,1
"@Alba_fcb14 Qué haces puta, cállate ya",ibereval,1
@Laura99CM Ahora que me has faltado el respeto te lo puedo decir por fin: ¡A fregar puta!,ibereval,1
"@A3Noticias Esta tiene que ser una 'fake new' porque las mujeres son siempre las víctimas, no las hijas de puta maltratadoras. Eso o el chaval es un machista que se lo ha merecido (machete al machote).",ibereval,1
"te mereces eso y más hijo de perra, no hiciste nada con mi Rebaño https://t.co/AU5hBorahK",ibereval,1
@CaballoLyL @Rayados @TigresOficial Tu eres la perra y prostituta de tu papá y aun sigues vivo jajaj,ibereval,1
"@raykrai tú eres ninini: ni estudias, ni trabajas, ni haces puta gracia",ibereval,0
"Hoy es lunes con l de LA PUTA MADRE KIRKMAN, CARL NO MERECIA MORIR",ibereval,0
@yulianaromero19 Entonces según esta lógica tú eres una perra como todas las caleñas(?),ibereval,1
"Ole tu, solo le falto decir que con Franco eso no pasaba https://t.co/27hVQOiL1K",ibereval,0
@LailaGermanotta Se merecía 3 oscars solo por esa escena. La hada madrina es ESA ZORRA,ibereval,1
@carmeladp07 POR FAVOR NO PROMETAS ESO ☹️😢 tú eres perra diva,ibereval,1
@angela15rubio Callate y sacate la puta eso,ibereval,1
"Una mujer es tildada de zorra, buscafama etc y automáticamente está mintiendo, se le falta el respeto y se le cree al hombre. Cualquier semejanza con lo que consumimos todas las noches, es pura casualidad.",ibereval,1
@nick17buero Opaa jajaja comemela entonces ajajaj,ibereval,1
"@prssrx +Si te molesta que te miren raro, es culpa de tus complejos y la unica opcion es adelgazar. Y si no te molesta seguiras con tu vida.",ibereval,1
A Benzema le va a nacer un embrión en la garganta de tanto chuparle la polla a Zidane,ibereval,0
@effeditallup Star Wars: crea un personaje masculino complejo de puta madre La gente: *estas tonterías*,ibereval,0
¿cual es el dia de la mujer? -El dia menos pensado-,ibereval,1
#TITULAESNACIONALES: Interpol captura a deportado salvadoreño que es acusado por los delitos de violación y acosos sexual,ibereval,0
@SamuelMarinRuiz Por desgracia tengo 4 pelos polla en la cara y es toh muy sad Encima de Panchito y parguela...imberbe https://t.co/CQm0ZwcPGa,ibereval,0
Porque las mujeres ven las peliculas porno enteras? -Porque se creen que al final se van a casar o algo.,ibereval,1
"@Sucedaneosdesal @recap001 Pero cállate perra, que lo lo había visto xD",ibereval,1
Pero a ver tú eres más puta que las gallinas contigo no hay virtud que proteger #nv,ibereval,1
@feminiciD10S @metabolizedjunk Callate hijo de perra,ibereval,0
"@Relatofeminista eso te lo has inventado, y si hay alguien tan imbecil para decir eso...",ibereval,0
"@clarialvarez15 AH NO q hija d puta sos, mejor callate",ibereval,1
"Estamos en un Estado de igualdad, no? Para cuando la escena de un hombre que diga, 'busco a una guarra para poder fornicar como un loco despechado hasta nuevo año'? No es esto una descarada y funesta forma de incitar el incorrectismo coyuntural y los falsos modales? https://t.co/MXq3X8JFrD",ibereval,1
"@bichoscristo Ya ni me hables de esa escoria, aunque no todos son malos.",ibereval,0
¿Y si dejas de alimentar la cultura de la violación y el acoso mejor? Uno viste la hueá que se le antoje https://t.co/77QrEgbIzF,ibereval,0
"@Emol No apruebo hechos como la violación o el acoso sexual, pero el riesgo de este tipo de campañas es que se pasa de hacer conciencia frente a un hecho determinado a un fanatismo extremo, en la que pagan 'justos por pecadores'.",ibereval,0
Vuélvete una perra con quien lo merezcas https://t.co/TxrsCYQYQ8,ibereval,1
"@IrantzuVarela Mezclas conceptos, hablar de acoso es una cosa, de sexo o violación es otra. El acoso es no aceptar un no, es usar palabras groseras, pero no saludar, presentarse, invitar a un café una sola vez, aceptando el si o el no como respuesta, o in",ibereval,0
el es un capo!!! la mujer es una zorra !!! https://t.co/8WMjuYt3Uh,ibereval,1
Ya callate con tu puta aguila color azul pinche tabasqueña fea >:( #ExatlonMx,ibereval,1
Tú crees que eres cool y no eres una zorra y droga — y tu eres mi fan que tan pendiente a mi vida estas ... https://t.co/rNQvEMXCTH,ibereval,1
@HdzJaleny Cállate perra por qué yo tq,ibereval,1
El biribiri de las estupidas adolescentes manipuladas por la #femimoda aburre a la sociedad y enoja a los abusadores. #feminazis,ibereval,1
"@anto07ro Siempre te hago el aguante callate, mña si perra",ibereval,1
@Marta04104594 Embestir te con fuerza q chilles al sentir mi.polla en tu coño humedo,ibereval,1
@DeboraGarrido15 Cállate perra del infierno 😭,ibereval,1
Estamos en periodo electoral. A pesar que las mujeres tengan derecho a voto; hagámoslo lo mejor que podamos #hombres #votojusto,ibereval,1
ONLINE EN https://t.co/wkT9BMovtL Thalia peliroja canchonda en busca de una polla bien guarra ...#sexo por #webcam 🚨 https://t.co/YEVmgJXLgD,ibereval,1
@MashiRafael Ya cállate rechucha de tu madre y traga de tu misma medicina hijo de la gran puta!!! Tirano cobarde y dictador,ibereval,0
No entiendo por qué no te gusta mi perra si tú eres más perra q ella,ibereval,1
@JorgeCalabres Cállate hija de perra mongolo de mierda,ibereval,0
@ami_abud callate gorda babosa igual q tu perra,ibereval,1
Porque ladra tanto mi perra? La puta madre cállate un poco,ibereval,1
"@SrtoAdriGH abusaba de él, es una zorra merecía morir.",ibereval,1
"El problema con la violación y el acoso si son un problema cultural, que uno hable de machismo no quiere decir que uno hable de la santidad femenina. Hay mujeres machistas violadoras/acosadoras, las hay",ibereval,1
"@LaUnionAM800 No es mas imbécil porque no es mas alto... el y su guarra, par de analfabetos funcionales... instigadores y apologistas a la violencia...!!!",ibereval,1
@Mzavalagc Oiga ¿y todas las victimas de acoso y violacion consecuencia de la espiral de violencia desatada por @FelipeCalderon para desviar la atención del fraude de 2006? Esas que no tienen voz por no ser figura pública ¿usted ahora sí las va a represen,ibereval,0
"Enferma hija de mil puta y la concha gorda que te pario soreta te mereces una muerte lenta y dolorosa, te odio te odio te odio te odio gorda cinica https://t.co/UZU726enuv",ibereval,1
Hijos de puta! Os merecéis lo peor... Q asco me dais! 😭😠 https://t.co/MOHv2yINgd,ibereval,0
@TimoFARC @ONU_es @antonioguterres Cinico hijo de puta lo unico que te mereces es indumil corrido,ibereval,0
"@KobaML Claro, es un hoyo(coño) que se abre con una tuneladora(polla) sin consentimiento de la naturaleza. Una macabra violación de libro.",ibereval,0
"Mira estoy hasta los cojones de que por enseñar una teta y no ser tío me llamen guarra,por enseñar el culo me digan que solo lo hago para calentar,tronco tanto os cuesta ver una teta de una tía como algo normal?Es un cuerpo al igual que el del hombre,amo enseñar mi cuerpo!!! https://t.co/3DLCmgKc88",ibereval,0
"¡MALPARIDO, DESGRACIADO HIJO DE PUTA! ¿SERÁ QUE TE PARIÓ UNA BURRA, QUE TU MUJER ES UNA HIENA Y TE HA PARIDO CHACALES EN VEZ DE NIÑAS? ¡CON EL PERDÓN DE ESE ZOOLÓGICO QUE NOMBRE, PORQUE LOS ANIMALES SON ESO, Y TÚ Y TU GENTE MIERDA PURA! https://t.co/WrQaGXHAIf",ibereval,0
"Se me olvido mi perra tarjeta, pero lo bueno de ser mujer es que en realidad no la necesito ¡Viva el heteropatriarcado opresor! ¡Vivaaa!",ibereval,0
@xTZeuS Zeus callate puta gorda q te huele la boca,ibereval,1
@Irene_Montero_ Y tú eres mejor que ese cerdo hijo de puta de @eduardoinda qué decepción de podemos https://t.co/2JzLiEgMDa,ibereval,0
Otra puta injusticia.... Raoul grande Te mereces lo mejor #OTGala8,ibereval,0
@justlikecams callate camila y dame seguidores perra,ibereval,1
@EJCJ @MartinaSotoPose No creo que nadie confunda acoso con seducción ni violación con fantasia sexual.,ibereval,0
Es la hora de la siesta. ¿Cómo se dice 'siesta' en femenino? Fregar los platos.,ibereval,1
"@carmonangelica @anaisbernal Por que no la salió del coño decirlo, a quién has venido a juzgar, a Salma o al puto acosador?",ibereval,0
"'Mi novia es sevillista, es una puta más' canta Adán. Ahora vendrán hablándome de clases, de categorías y de 'piques'. No hay más preguntas, señoría. https://t.co/TXauHkGf0r",ibereval,1
"@Rockefort100 Hahaha, me das risa. Mejor cállate y no te metas donde no te mencionan, perra llorona.",ibereval,1
Vamos a ver si hay algún extremista de la mujer por aqui...,ibereval,0
@CauliflaSexrol Tu coño si que sabe complacer mi polla rubia ❤️,ibereval,1
@DollarGames Joder dollar 😂comemela jajajajaj,ibereval,0
Cardi B se ve que como novia es súper perra. Soy su fan,ibereval,1
"@cobaiabaia Al menos en 13rsw, creo que no idealizan el suicidio ni el acoso o la violación y dan un mensaje, sin embargo en esta serie me da la sensación de que pintan como super guay ser un psicópata.",ibereval,0
@DeluxeSabado @gusgonzalves Un imbécil que dice ahora el payaso este la zarigueña y gema de las infidelidades de Kiko Rivera eh sois escoria,ibereval,0
@AnaMari54039993 @anthony_j17 @Lenin Cállate perra igual entendiste el mensaje anda a pintarte las uñas y hablar de maquillajes perra,ibereval,1
@laLauusrobles Tu eres zorra amiga jajajajajajajaja,ibereval,1
@xVolkovaVera Que guarra. Búscate ya un mozo.,ibereval,0
@qweenbellaC callate de una vez perra en celo,ibereval,1
"Si por rechazar, enseñar el culo, enseñar las tetas, follar, liarme con quien me salga dl coño o etc soy una guarra, tranquil@s, seré aún más guarra todavía. Pero lo que realmente soy, es libre, libre de hacer con mi cuerpo y con mi vida lo que YO quiera, no lo que a ti te guste.",ibereval,1
"O Panamá es muy chico, o tu eres muy perra.",ibereval,1
@Barbijaputa este pequeñajo lleva dos días pegado a mi por culpa de los putos petardos https://t.co/4jBvYLFG3O,ibereval,0
ESTA MUJER ES UNA VERDADERA PERRA......SERA QUE SE EMBRIAGA CON LA SANGRE QUE DERRAMA EL PUEBLO HUMIDE ARGENTINO? https://t.co/InR3jvSOYm,ibereval,1
"'No eres una perra para advertir enseñando los dientes. Ahora, ven conmigo. Siéntate, observemos a los humanos celebrar su nuevo ciclo anual.'",ibereval,0
@aguandradaa callate una vez q toy feliz lo quiero compartir china puta,ibereval,1
@PilarBenitoG Cállate perra tú no estuviste ahí,ibereval,1
@Lucasssmerlo Cállate hijo de puta. Me hace acordar a tu mamá cuando la lleve a la residencia a que se ventile un rato,ibereval,1
"2018, pelea de mis hermanos en la mañana Hermana: cállate pendejo Hermano: pendeja tú y pendeja tu perra ! Yo: omg a whole new level 😆",ibereval,1
"@cristinadevonne Ni tú eres perra ni yo soy un gato, mi corazón de repuesto, se muere por latir siempre a tu lado.",ibereval,0
Perra agradece que te tire el licor en la blusa te lo merecías en la cabeza hp 😂🤦‍♂️ antes de hablar de mi... https://t.co/uRJEvTPI3W,ibereval,1
@anaisbernal Esta es la justicia en españa para estos indeseables una puta verguenza,ibereval,0
@lortegadiaz Cállate perra que a ti te espera el mismo destino de maduro y cabello ahora se la tira de correcta porque no lo hicistes aquí corrupta de mierda,ibereval,1
Pq la canción esta bien puta y tu eres tan puta que la cambias https://t.co/sKeH55PaIq,ibereval,1
"feliz año zorra, te amo imbécil :( @poetswonho",ibereval,1
@ViktorBautista @DGii Hijo de perra como tú eres una botella...te conviene,ibereval,0
"@el_pais Más d 17 denuncias por acoso sexual incluyendo Una violacion a su propia esposa y una relación promiscua con su hija Ivanka.Universidad y fundación Trump en NY cerrados por fraude y lavado d dinero,Siete bancarrotas,este delincuente tiene d todo ",ibereval,0
@TNFamosos Uy pero que cochino el que acoso a la fea está. No se le cree nada a la imbécil está maju creo se llama. Un asco y mentirosa la mina,ibereval,1
Esta página les puede decir si alguien del cast o crew de una movie ha sido acusado de acoso sexual o violación - - - > https://t.co/tokBGkXsye 💜,ibereval,0
